,회사명,하위업종,상위업종
0,하나32호스팩,금융 지원 서비스업,서비스업
1,엔젤로보틱스,특수 목적용 기계 제조업,제조업
2,제이투케이바이오,기타 화학제품 제조업,제조업
3,삼현,자동차 신품 부품 제조업,제조업
4,오상헬스케어,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
5,케이엔알시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
6,비엔케이제2호스팩,금융 지원 서비스업,서비스업
7,하나31호스팩,금융 지원 서비스업,서비스업
8,SK증권제11호스팩,금융 지원 서비스업,서비스업
9,유안타제15호스팩,금융 지원 서비스업,서비스업
10,유진스팩10호,금융 지원 서비스업,서비스업
11,이에이트,소프트웨어 개발 및 공급업,정보기술 및 통신업
12,코셈,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
13,케이웨더,일반 목적용 기계 제조업,제조업
14,사피엔반도체,반도체 제조업,제조업
15,에스피소프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
16,스튜디오삼익,기타 생활용품 소매업,도매 및 소매업
17,신영스팩10호,금융 지원 서비스업,서비스업
18,폰드그룹,봉제의복 제조업,제조업
19,IBKS제24호스팩,금융 지원 서비스업,서비스업
20,레이저옵텍,의료용 기기 제조업,제조업
21,이닉스,자동차 신품 부품 제조업,제조업
22,포스뱅크,일반 목적용 기계 제조업,제조업
23,현대힘스,선박 및 보트 건조업,제조업
24,HB인베스트먼트,기타 금융업,서비스업
25,드림인사이트,광고업,서비스업
26,대신밸런스제17호스팩,금융 지원 서비스업,서비스업
27,우진엔텍,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
28,한빛레이저,특수 목적용 기계 제조업,제조업
29,IBKS제23호스팩,금융 지원 서비스업,서비스업
30,하나30호스팩,금융 지원 서비스업,서비스업
31,씨싸이트,봉제의복 제조업,제조업
32,블루엠텍,기타 전문 도매업,서비스업
33,LS머트리얼즈,전자부품 제조업,제조업
34,케이엔에스,특수 목적용 기계 제조업,제조업
35,교보15호스팩,금융 지원 서비스업,서비스업
36,와이바이오로직스,자연과학 및 공학 연구개발업,제조업
37,삼성스팩9호,금융 지원 서비스업,서비스업
38,에이텀,전자부품 제조업,제조업
39,엔에이치스팩30호,금융 지원 서비스업,서비스업
40,에이에스텍,기타 화학제품 제조업,제조업
41,그린리소스,반도체 제조업,제조업
42,제이엔비,특수 목적용 기계 제조업,제조업
43,한선엔지니어링,기타 금속 가공제품 제조업,제조업
44,에코아이,기타 전문 서비스업,서비스업
45,스톰테크,플라스틱제품 제조업,제조업
46,캡스톤파트너스,기타 금융업,서비스업
47,에스와이스틸텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
48,에이직랜드,반도체 제조업,제조업
49,한국제13호스팩,금융 지원 서비스업,서비스업
50,메가터치,일차전지 및 축전지 제조업,제조업
51,비아이매트릭스,소프트웨어 개발 및 공급업,정보기술 및 통신업
52,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
53,큐로셀,자연과학 및 공학 연구개발업,제조업
54,쏘닉스,반도체 제조업,제조업
55,KB제27호스팩,금융 지원 서비스업,서비스업
56,세니젠,그외 기타 제품 제조업,제조업
57,신시웨이,소프트웨어 개발 및 공급업,정보기술 및 통신업
58,유진테크놀로지,기타 금속 가공제품 제조업,제조업
59,유투바이오,기타 과학기술 서비스업,서비스업
60,퀄리타스반도체,반도체 제조업,제조업
61,워트,특수 목적용 기계 제조업,제조업
62,에스엘에스바이오,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
63,신성에스티,자동차 신품 부품 제조업,제조업
64,퓨릿,기초 화학물질 제조업,제조업
65,에이치엠씨제6호스팩,금융 지원 서비스업,서비스업
66,아이엠티,특수 목적용 기계 제조업,제조업
67,레뷰코퍼레이션,광고업,서비스업
68,신한제11호스팩,금융 지원 서비스업,서비스업
69,한싹,소프트웨어 개발 및 공급업,정보기술 및 통신업
70,밀리의서재,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
71,인스웨이브시스템즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
72,우듬지팜,"과실, 채소 가공 및 저장 처리업",식품 및 음료제조업
73,코어라인소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
74,상상인제4호스팩,금융 지원 서비스업,서비스업
75,율촌,1차 철강 제조업,제조업
76,한화플러스제4호스팩,금융 지원 서비스업,서비스업
77,대신밸런스제16호스팩,금융 지원 서비스업,서비스업
78,유안타제11호스팩,금융 지원 서비스업,서비스업
79,크라우드웍스,소프트웨어 개발 및 공급업,정보기술 및 통신업
80,대신밸런스제15호스팩,금융 지원 서비스업,서비스업
81,한국제12호스팩,금융 지원 서비스업,서비스업
82,시큐레터,소프트웨어 개발 및 공급업,정보기술 및 통신업
83,스마트레이더시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
84,빅텐츠,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
85,SK증권제10호스팩,금융 지원 서비스업,서비스업
86,KB제26호스팩,금융 지원 서비스업,서비스업
87,코츠테크놀로지,컴퓨터 및 주변장치 제조업,제조업
88,큐리옥스바이오시스템즈,의료용 기기 제조업,제조업
89,하나28호스팩,금융 지원 서비스업,서비스업
90,파두,반도체 제조업,제조업
91,엠아이큐브솔루션,소프트웨어 개발 및 공급업,정보기술 및 통신업
92,시지트로닉스,반도체 제조업,제조업
93,에이엘티,반도체 제조업,제조업
94,유안타제14호스팩,금융 지원 서비스업,서비스업
95,파로스아이바이오,자연과학 및 공학 연구개발업,제조업
96,버넥트,소프트웨어 개발 및 공급업,정보기술 및 통신업
97,뷰티스킨,기타 화학제품 제조업,제조업
98,SK증권제9호스팩,금융 지원 서비스업,서비스업
99,와이랩,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
100,센서뷰,절연선 및 케이블 제조업,제조업
101,필에너지,특수 목적용 기계 제조업,제조업
102,DB금융스팩11호,기타 금융업,서비스업
103,교보14호스팩,금융 지원 서비스업,서비스업
104,이노시뮬레이션,소프트웨어 개발 및 공급업,정보기술 및 통신업
105,알멕,1차 비철금속 제조업,제조업
106,오픈놀,소프트웨어 개발 및 공급업,정보기술 및 통신업
107,시큐센,소프트웨어 개발 및 공급업,정보기술 및 통신업
108,하나29호스팩,금융 지원 서비스업,서비스업
109,KB제25호스팩,금융 지원 서비스업,서비스업
110,엔에이치스팩29호,금융 지원 서비스업,서비스업
111,하이제8호스팩,금융 지원 서비스업,서비스업
112,프로티아,의료용 기기 제조업,제조업
113,큐라티스,자연과학 및 공학 연구개발업,제조업
114,마녀공장,기타 화학제품 제조업,제조업
115,나라셀라,음·식료품 및 담배 도매업,도매 및 소매업
116,진영,플라스틱제품 제조업,제조업
117,기가비스,특수 목적용 기계 제조업,제조업
118,팸텍,특수 목적용 기계 제조업,제조업
119,모니터랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
120,씨유박스,소프트웨어 개발 및 공급업,정보기술 및 통신업
121,키움제8호스팩,금융 지원 서비스업,서비스업
122,트루엔,영상 및 음향기기 제조업,제조업
123,에스바이오메딕스,의약품 제조업,식품 및 음료제조업
124,슈어소프트테크,소프트웨어 개발 및 공급업,정보기술 및 통신업
125,토마토시스템,소프트웨어 개발 및 공급업,정보기술 및 통신업
126,마이크로투나노,반도체 제조업,제조업
127,셀바이오휴먼텍,기타 섬유제품 제조업,제조업
128,미래에셋비전스팩3호,금융 지원 서비스업,서비스업
129,IBKS제22호스팩,금융 지원 서비스업,서비스업
130,하나27호스팩,금융 지원 서비스업,서비스업
131,지아이이노베이션,자연과학 및 공학 연구개발업,제조업
