ID	공표일	기업명	품목	리콜종류
3668	2024-04-01 	주식회사 신지모루	마그네틱 보조배터리	자발적리콜
3667	2024-03-27 	주식회사 휴리엔	가정용 음식물처리기	자발적리콜
3666	2024-03-26 	MTD Products Inc.	잔디깍기(제로턴 잔디깍기, Zero Turn Lawn Mowers)	자발적리콜
3665	2024-03-20 	(주)산바다스포츠 	캐논데일 데이브 자전거	자발적리콜
3664	2024-03-14 	(주)하츠	전기레인지	자발적리콜
3663	2024-02-29 	에스알산전	조광기(스위치)	명령에따른리콜
3662	2024-02-29 	(주)디에스이	조광기(스위치)	명령에따른리콜
3661	2024-02-29 	(유)우전케이블	케이블(공칭단면적 95㎟이하)(전선, 케이블 및 코드류)	명령에따른리콜
3660	2024-02-29 	(주)에쎔	플러그 및 콘센트(전기설비용 부속품 및 연결부품)	명령에따른리콜
3659	2024-02-29 	진흥전기(주)	플러그 및 콘센트(전기설비용 부속품 및 연결부품)	명령에따른리콜
3658	2024-02-29 	유성화학	플러그 및 콘센트(전기설비용 부속품 및 연결부품)	명령에따른리콜
3657	2024-02-29 	주식회사 광명전기 (제품표시: 마노테크(주))	플러그 및 콘센트(전기설비용 부속품 및 연결부품)	명령에따른리콜
3656	2024-02-29 	주식회사 더모운	플러그 및 콘센트(전기설비용 부속품 및 연결부품)	명령에따른리콜
3655	2024-02-29 	픽스산업	플러그 및 콘센트(전기설비용 부속품 및 연결부품)	명령에따른리콜
3654	2024-02-29 	주식회사 유지 (제품표시: 주식회사 유건인더스트리)	케이블릴(전기설비용 부속품 및 연결부품)	명령에따른리콜
3653	2024-02-29 	오아㈜	전기오븐기기(주방용 전열기구)	명령에따른리콜
3652	2024-02-29 	(주)유니맥스 이엔엘	전기레인지(핫플레이트 포함)(주방용 전열기구)	명령에따른리콜
3651	2024-02-29 	룩스램㈜(판매원)	안정기 내장형램프(LED용 포함)(안정기 내장형램프)	명령에따른리콜
3650	2024-02-29 	주식회사대양케이스	컴퓨터용 전원공급장치(컴퓨터용 전원공급장치)	명령에따른리콜
3649	2024-02-29 	(주)이도디스플레이	컴퓨터용 전원공급장치(컴퓨터용 전원공급장치)	명령에따른리콜
3648	2024-02-29 	원대로 인터내셔널	전지(전지(충전지만 해당))	명령에따른리콜
3647	2024-02-29 	주식회사 다빈치바이씨클	보호장구(어린이용 스포츠 보호용품(보호장구 및 안전모))	명령에따른리콜
3646	2024-02-29 	주식회사 제이원팩토리	노리개젖꼭지(합성수지제 어린이용품)	명령에따른리콜
3645	2024-02-29 	(주)바이클로	유아용 삼륜차(유아용 삼륜차)	명령에따른리콜
3644	2024-02-29 	(주)나스포	운동완구(완구)	명령에따른리콜
3643	2024-02-29 	주식회사 디자인쁘렝땅	봉제인형(완구)	명령에따른리콜
3642	2024-02-29 	글로벌SC	조종완구(완구)	명령에따른리콜
3641	2024-02-29 	유미상사	연필류·연필심(학용품)	명령에따른리콜
3640	2024-02-29 	㈜다다	연필류·연필심(학용품)	명령에따른리콜
3639	2024-02-29 	㈜모닝글로리	악기류(학용품)	명령에따른리콜
3638	2024-02-29 	하루하이	크레용·크레파스(학용품)	명령에따른리콜
3637	2024-02-29 	모모	연필깎이(학용품)	명령에따른리콜
3636	2024-02-29 	팝콘F&T	공책(학용품)	명령에따른리콜
3635	2024-02-29 	(주)라페	필통(학용품)	명령에따른리콜
3634	2024-02-29 	저장일정문화용품유한회사	필통(학용품)	명령에따른리콜
3633	2024-02-29 	주식회사 유연아이웨어	선글라스(어린이용 안경테 및 선글라스)	명령에따른리콜
3632	2024-02-29 	(주)아이공간	어린이용 가죽제품(어린이용 가죽제품)	명령에따른리콜
3631	2024-02-29 	제이모션 주식회사	책장(어린이용 가구)	명령에따른리콜
3630	2024-02-29 	다온인터내셔널(주)	우산(어린이용 우산 및 양산)	명령에따른리콜
3629	2024-02-29 	㈜더그로우	우산(어린이용 우산 및 양산)	명령에따른리콜
3628	2024-02-29 	(주)린백	의자(어린이용 가구)	명령에따른리콜
3627	2024-02-29 	이토르	승차용 눈보호구(승차용 안전모)	명령에따른리콜
3626	2024-02-29 	소나코리아	승차용 안전모(승차용 안전모)	명령에따른리콜
3625	2024-02-29 	빅트리	휴대용 레이저용품(휴대용 레이저용품)	명령에따른리콜
3624	2024-02-29 	(주)Tree	망간 건전지(건전지)	명령에따른리콜
3623	2024-02-29 	유한회사 영스커머스	계단식 소형 사다리(휴대용 사다리)	명령에따른리콜
3622	2024-02-29 	(주)새실텍스피아	방한용, 패션용, 스포츠용 마스크(방한용, 패션용, 스포츠용 마스크)	명령에따른리콜
3621	2024-01-24 	야마하뮤직코리아(주)	AC adaptor	자발적리콜
